fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.6,0.41,1.5,0.095,41,0.99735,3.02,0.76,9.9,7
9.2,0.31,2.2,0.079,31,0.99615,3.33,0.86,12,7
9.1,0.3,2,0.068,24,0.99523,3.27,0.85,11.7,7
5.4,0.42,2,0.092,55,0.99471,3.78,0.64,12.3,7
8.8,0.24,1.7,0.055,27,0.99394,3.14,0.59,11.3,7
7.4,0.36,1.8,0.075,38,0.9933,3.38,0.88,13.6,7
7.2,0.48,5.5,0.089,18,0.99684,3.37,0.68,11.2,7
8.5,0.28,1.7,0.061,15,0.99524,3.3,0.74,11.8,7
10,0.41,6.2,0.071,14,0.99702,3.21,0.49,11.8,7
8.5,0.18,1.75,0.071,88,0.99524,3.33,0.76,11.8,7
5.1,0.51,2.1,0.042,101,0.9924,3.46,0.87,12.9,7
8.5,0.32,2.3,0.075,19,0.99434,3.14,0.71,11.8,7
8.2,0.33,2.5,0.074,48,0.99528,3.32,0.88,12.4,7
7.2,0.25,2.5,0.063,41,0.99439,3.52,0.8,12.4,7
7.9,0.34,1.9,0.065,10,0.99419,3.27,0.54,11.2,7
7.2,0.36,2.1,0.074,44,0.99534,3.4,0.85,11,7
7.2,0.36,2.1,0.074,44,0.99534,3.4,0.85,11,7
7.2,0.36,2.1,0.074,44,0.99534,3.4,0.85,11,7
6.2,0.39,2,0.071,24,0.99428,3.45,0.87,11.2,7
5.1,0.42,1.8,0.044,88,0.99157,3.68,0.73,13.6,7
9.8,0.3,1.7,0.062,9,0.9948,3.14,0.57,11.5,7
8.1,0.29,2.2,0.048,53,0.995,3.27,1.01,12.4,7
7.3,0.34,2.5,0.064,37,0.9952,3.35,0.77,12.1,7
6.1,0.4,1.8,0.069,25,0.9955,3.42,0.74,10.1,7
7.2,0.37,2,0.062,28,0.9947,3.23,0.73,11.3,7
7.8,0.32,2.7,0.104,17,0.99732,3.33,0.78,11,7
6.6,0.58,2,0.062,53,0.99374,3.35,0.76,11.6,7
7.9,0.2,1.7,0.054,15,0.99458,3.32,0.8,11.9,7
7.3,0.48,2.1,0.062,54,0.99728,3.3,0.65,10,7
7.3,0.48,2.1,0.062,54,0.99728,3.3,0.65,10,7
5.3,0.47,2.2,0.048,89,0.99182,3.54,0.88,13.56666667,7
5.3,0.47,2.2,0.048,89,0.99182,3.54,0.88,13.6,7
6.4,0.31,1.4,0.066,28,0.99459,3.42,0.7,10,7
6.6,0.56,2.4,0.064,29,0.99397,3.42,0.62,11.7,7
8.4,0.37,2.3,0.063,19,0.9955,3.17,0.81,11.2,7
7,0.56,1.7,0.065,24,0.99514,3.44,0.68,10.55,7
6.7,0.32,2.4,0.061,34,0.99484,3.29,0.8,11.6,7
7.9,0.35,3.6,0.078,37,0.9973,3.35,0.86,12.8,8
10.3,0.32,6.4,0.073,13,0.9976,3.23,0.82,12.6,8
5.6,0.85,1.4,0.045,88,0.9924,3.56,0.82,12.9,8
12.6,0.31,2.2,0.072,29,0.9987,2.88,0.82,9.8,8
11.3,0.62,5.2,0.086,19,0.9988,3.22,0.69,13.4,8
9.4,0.3,2.8,0.08,17,0.9964,3.15,0.92,11.7,8
10.7,0.35,2.6,0.07,16,0.9972,3.15,0.65,11,8
10.7,0.35,2.6,0.07,16,0.9972,3.15,0.65,11,8
5,0.42,2,0.06,50,0.9917,3.72,0.74,14,8
9.1,0.4,1.8,0.071,16,0.99462,3.21,0.69,12.5,8
10,0.26,1.9,0.083,74,0.99451,2.98,0.63,11.8,8
7.9,0.54,2.5,0.076,17,0.99235,3.2,0.72,13.1,8
8.6,0.42,1.8,0.068,12,0.99516,3.35,0.69,11.7,8
7.2,0.33,1.7,0.061,13,0.996,3.23,1.1,10,8
7.2,0.38,2,0.056,29,0.99472,3.23,0.76,11.3,8
7.4,0.36,1.8,0.074,24,0.99419,3.24,0.7,11.4,8
